"Meslek","Şehir","Nitelikler"
"Uç Nokta ve Veri Güvenliği Uzmanı","İstanbul(Asya)(Ataşehir)","GENEL NİTELİKLER VE İŞ TANIMI  Platin Bilişim;Veri Koruma, Siber Güvenlik, Network ve Son Kullanıcı Güvenliği, Kimlik Yönetimi ve Bilgi Güvenliği Konularında faaliyet gösteren bir teknoloji firmasıdır. IBM, Symantec, Bluecoat, VERITAS, F5, Imperva, Sailpoint, Thycotic, Hitachi, Rapid7, Transvault firmalarının çözüm ortağıdır. Platin Bilişim, projelerini anahtar teslimi; ürün ve tamamlayıcı hizmetlerle (kurulum, bakım anlaşması) birlikte sunmaktadır. Referansları arasında, Finans, Telekomünikasyon, Holding, Kamu, Üretim, Perakende ve Hizmet gibi sektörlerin önde gelen firmaları bulunmaktadır.   İstanbul Kozyatağın'da bulunan merkez ofisimizde görevlendirmek üzere;  Üniversitelerin Bilgisayar Mühendisliği ve/veya ilgili Mühendislik bölümlerinden mezun, Minimum 3 yıl bilgi güvenliği alanında tecrübeli,  SEndPoint Protection (Symantec, Trend Micro, CrowdStrike ..) -DLP (Symantec, Forcepoint ..) -Patch Mangement (IBM, Microsoft ..) -EDR (Symantec, Fireeye ..) -Encryption Tools (Symantec PGP, Trend Micro ..) -Tercihen SEP Administration sertifikası sahibi Endpoint Security konseptlerine hakim, Ajanlı Uç Nokta ürünleri konusunda deneyimli, Kimlik ve erişim yönetimi konusunda tecrübeli,  Proje yönetimi konusunda tecrübeli,  Raporlama ve dokümantasyon konusunda tecrübeli,  Yeni teknolojileri yakından takip eden ve öğrenmeye açık,  Konuşma derecesinde İngilizce bilgisi olan,  İstanbul Anadolu yakasında ikamet eden ya da edebilecek.  Aktif araç kullanabilen, Erkek adaylar için askerlik ile ilişiği olmayan,  İŞ TANIMI   Hedeflenen sürede, belirlenen ürünlerin öğrenilmesi,  Sorunların araştırılması ve çözümlerin uygulanması,  Uzaktan ve teknik destek hizmetlerinin verilmesi,  Müşterilerde Demo/POC gibi teknik çalışmaların yapılması,  Gerektiğinde, yurt dışı destek ekipleri ile iletişime geçilerek sorunların çözülmesi. "
"Altyapı ve Erişim Güvenliği Uzmanı"," "," "
"Elektronik Mühendisi","İstanbul(Asya)(Maltepe)","GENEL NİTELİKLER VE İŞ TANIMI  İşin Tanımı:      Elektrik, Elektronik ve Otomasyon sektöründe  satış, kurulum ve tamirini yaptığımız firmamıza istenen niteliklere sahip gerektiğinde raporlama yapabilecek TIA Portal, Sımatıc Manager, PLC ve Motion Kontrol Programlama bilen, HMI Ekran Programlama, Servo Sürücü Programlama bilen, Makina revizyonunda tecrübeli, eksen servo sürücü programlama konusunda deneyim, sahibi arkadaşlar alınacaktır.   Aranan Nitelikler:  ·          Tercihen elektrik elektronik mühendisliği mezunu   ·          İngilizce bilgisi olan (PDF okuma ve anlama)  ·          Araştırma becerisi  ·          Bilgisayar ofis programlarına hakim  ·          Planlama ile organizasyon bilgi ve becerisi  ·          Yurtiçi ve yurtdışı seyahat problemi olmaması  ·          Liderlik ve ekiple çalışabilme  ·          Raporlama bilgi ve becerisi  ·          Zamanı yönetebilme yeteneği  ·          El ve göz sağlığına ve sağlamlığına sahip olması  ·          Genel yeteneğe sahip olması  ·          Dikkatli, tedbirli, sabırlı olması  ·          Matematik ve fen bilimleriyle ilgili konularda başarılı olması  ·          TIA Portal, Sımatıc Manager, PLC ve Motion Kontrol Programlama bilen  ·          HMI Ekran Programlama, Servo Sürücü Programlama bilen  ·          Makina revizyonunda tecrübe sahibi  ·          Tercihen 8-10 Eksen servo sürücü programlama konusunda deneyimli,  ·          Aktif araç kullanabilen,   ·          Takım çalışmasına uygun arkadaşlar arıyoruz."
"Sistem Mühendisi","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  BİTES HAKKINDA   2001 yılında kurulan ve 2019 yılından itibaren ASELSAN iştiraki olan BİTES Savunma ve Havacılık, 200'ü aşkın uzman kadrosu ile milli ve yüksek teknoloji odaklı bir savunma sanayi şirketi olarak ülkemize hizmet etmektedir.   BİTES, artırılmış gerçeklik, yapay zeka, derin öğrenme, görüntü ve sinyal işleme gibi teknoloji alanlarında yurtiçi ve yurtdışı ar-ge çalışmaları yürütmektedir.   BİTES, çalışmalarını Ankara Eskişehir Yolu üzerindeki ODTÜ Bilişim ve İnovasyon Merkezi’nde sürdürmektedir. Ayrıca eğitim ve simülasyon teknolojileri, komuta kontrol ve bilgi sistemleri faaliyet alanında askeri sistemler için çözümler sağlamaktadır.   İnovatif fikirlere değer verilen ve sürekli gelişime açık yapıya sahip olan şirketimizde;   Savunma Projeleri kapsamında görevlendirmek üzere‘Sistem Mühendisi’ çalışma arkadaşları aramaktayız.      NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği veya Elektrik/Elektronik Mühendisliği bölümlerinden mezun, Sistem Mühendisliği Standartları (INCOSE, MIL-STD-499, IEEE-1220 veya EIA-632) ve Askeri Geliştirme Standartları (MIL-STD-1316, MIL-STD-331, MIL-STD-810, MIL-STD-461, MIL-STD-464) standartlarının bir veya bir kaçında tecrübeli,  Sistem Mühendisliği süreçlerine hakim, sistem gereksinim tanımlama ve analiz, tasarım, geliştirme ve entegrasyon deneyimine sahip, Kullanım Durum Analizi (Use Case Analysis) ve Fonksiyonel /Mantıksal Analiz yapabilen,  Savunma Projelerinde en az 2 yıl Sistem Mühendisliği tecrübesi olan, Gereksinim Yönetim aracı (DOORS vb.) kullanma deneyimine sahip, JIRA / ClearCase / ClearQuest gibi yazılım araçlarına hakim, Savunma sektörüne ilgi duyan, Kişi Güvenlik Belgesi almaya engel bir durumu olmayan, İyi düzeyde İngilizce bilen,  Seyahat engeli bulunmayan (Saha görevlerine katılım sağlaması gerekecektir)   Ek olarak adaylardan aşağıdaki tecrübelerden en az birisine sahip olması beklenmektedir.  Komuta Kontrol Hava Savunma Elektronik Harp Modelleme ve Simülasyon  İŞ TANIMI  Projenin tüm aşamaları boyunca Sistem Mühendisliği, Donanım/Yazılım geliştirme ve Sistem Test faaliyetlerinin koordinasyonu ve proje takvimine uygun bir biçimde yürütülmesi, Projenin tüm aşamaları boyunca ilgili standartlara ve yönergelere uygun olarak Sistem Mühendisliği faaliyetlerinin gerçekleştirilmesi, Sistem/alt sistem/parça gereksinimlerin belirlenmesi,  Gereksinimlerin yönetilmesi,  Gereksinim geçerleme (validation) ve doğrulama (verification) faaliyetlerinin gerçekleştirmesi, Sistem kurulumu ve entregrasyon faaliyetlerinin planlanması. Saha testlerinin gerçekleştirilmesi, hata analizi ve raporlama."
"Yazılım Geliştirme Uzmanı & Java Yazılım Uzmanı","İstanbul(Asya)","GENEL NİTELİKLER VE İŞ TANIMI      Telekomünikasyon alanında hizmet veren şirketimizin Teknopark İstanbul ofisinde yer alan AR-GE merkezinde görevlendirilmek üzere, müşterilerimize yazılım hizmeti verecek ve projenin her aşamasında görev alabilecekYAZILIM GELİŞTİRME UZMANI/UZMAN YARDIMCISI ve JAVA YAZILIM UZMANI arayışımız bulunmaktadır.     Tüm pozisyonlar için beklenen genel nitelikler:  İleri seviye İngilizce becerisi (yazma-konuşma) Takım çalışmasına yatkın, araştırmayı ve kendini geliştirmeyi seven Takipçi, çözüm odaklı, yüksek tempoda çalışabilen Erkek adaylar için; askerliğini tamamlamış veya minimum 2 yıl tecil etme hakkı olan İstanbul'da ikamet eden ya da İstanbul'da çalışmasına engel bulunmayan     Yazılım Geliştirme Uzmanı   Bilgisayar Mühendisliği, Yazılım Mühendisliği, Elektrik ve Elektronik Mühendisliği veya Matematik bölümlerinden mezun, Minimum 3 yıl Java ( J2SE&J2EE) konusunda tecrübeli Tercihen Primefaces framework tecrübeli Tercihen mobil programlama üzerinde bilgi sahibi      Yazılım Geliştirme Uzman Yardımcısı  Bilgisayar Mühendisliği, Yazılım Mühendisliği, Elektrik ve Elektronik Mühendisliği veya Matematik bölümlerinden mezun Tercihen Primefaces framework ve mobil programlama üzerinde bilgi sahibi     Java Yazılım Uzmanı   Bilgisayar Mühendisliği, Yazılım Mühendisliği, Elektrik ve Elektronik Mühendisliği veya Matematik bölümlerinden mezun  Minimum 5 yıl Java ( J2SE&J2EE) konusunda tecrübeli Web Servisleri konusunda deneyimli (REST, SOAP) Tercihen mikroservisler konusunda tecrübeli İyi seviyede algoritma oluşturabilme ve koda dökebilme becerisine sahip Versiyon kontrol sistemi kullanımında deneyimli Nesne yönelimli programlama konusunda tecrübeli HTML, CSS, XML, Ajax, JavaScript, jQuery, JSON, Node.JS vb. teknolojilerini kullanabilen    GENEL İŞ TANIMI İç ve dış müşteri ihtiyaçlarından oluşan gelen talepler için yazılım geliştirmek Yazılım, test, kurulum ve bakımı aşamaları gerçekleştirmek ve ilgili birimlerle iletişime geçmek Yeni uygulamaların mevcut yazılımlar ile entegrasyonunu sağlamak Yazılım uygulamaları için gerekli kodları yazılmasını ve veya düzeltilmesini sağlamak  Gelen yazılım taleplerini karşılamak Uygulama yazılımları ile ilgili sorunlarını gidermek, kullanıcılardan gelen soruları, istekleri cevaplamak ve gerektiğinde ilgililere yönlendirerek takibini yapmak"
"Yazılım Test Mühendisi","İstanbul(Avr.), İzmir, İstanbul(Asya)","GENEL NİTELİKLER VE İŞ TANIMI  GENEL NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği, Matematik Mühendisliği, Bilişim Sistemleri Mühendisliği, Endüstri Mühendisliği, Yazılım Mühendisliği ve benzeri Mühendislik bölümlerinden mezun olmak Tercihen yazılım ve uygulama test süreçleri alanında en az 1 yıllık deneyime sahip olmak ya da bu alanda kendini geliştirmeye istekli olmak Mobil client konusunda bilgi sahibi olmak Backend sistemler hakkında bilgi sahibi olmak, tercihen POSTMAN benzeri bir tool kullanmış olmak SoapUI, Oracle PL/SQL, Linux deneyimli olmak, JMETER ile script geliştirebilmek SDLC ve test süreçleri konusunda bilgi sahibi olmak Agile süreçler hakkında tercihen deneyim ve bilgi sahibi olmak  Yetkinlikler:  Proaktif yaklaşım Sorun çözme ve sonuç odaklılık Müşteri odaklılık Ekip çalışmasına yatkınlık Etkin iletişim Hızlı öğrenme ve kendini geliştirme becerisi  İŞ TANIMI  Ekibimize katılacak çalışma arkadaşlarımız şirketimizin İzmir ya da İstanbul lokasyonunda bulunan ofisinde,YazılımTest Mühendisi olarak görevlendirilecek, ağırlıklı olarak Mobil ve Web uygulamaları ve servislerinin geliştirme süreci içerisinde yer alıp kaliteli bir şekilde sahaya çıkmasını sağlamaktan sorumlu olacaklardır. Bunun için aşağıdaki alanlarda çalışmaları beklenmektedir;  Analiz ve tasarım dokümanlarının gözden geçirilerek test senaryolarının hazırlanması Hem işlevsel hem de işlevsel olmayan gereksinimler için tüm test süreçlerinin ve aşamalarının yürütülmesi Testlerin koşturulması ve test raporlarının yayınlanması, hata kayıtlarının açılması ve takibinin sağlanması Hem farklı client testleri hem de backend testleri konusunda koşum sağlanması Performans testleri koşulması Otomasyon testlerinin geliştirilmesine ve senaryolaştırılmasına katkıda bulunulması "
"Web Yazılım Uzmanı","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programlama veya ilgili bölümlerinden mezun, Web Tasarımı ve Web Uygulamaları, Frontend development konusunda (PHP, CSS3, HTML5, Javascript, Jquery, Ajax dilleri vb. üzerinde) en az 4 yıl tecrübesi olan, Front-end frameworkleri (bootstrap foundation) hakkında bilgi sahibi olan ve kullanarak tasarım yapabilen, Responsive tasarım kavramına yabancı olmayan, Adobe Photoshop, Illustrator, Bridge uygulamalarına hakim, Photoshop tasarımlarını alarak, HTML çevirebilecek, Teknik dökümanları takip edebilecek seviyede İngilizce bilgisine sahip, Tasarım dengesi, tasarım bütünlüğü, tipografi, menü/navigasyon mantığı, sayfa düzeni, sayfa yerleşimi gibi görsel tasarım prensiplerinde derinlemesine bilgi sahibi olan, Veritabanı (MSSQL) uygulamaları ile ilgili minimum 4 yıllık tecrübeli, Arama Motoru Optimizasyonu (SEO) bilgisi olan, Mailing tasarım ve işletim tecrübesi olan, Tercihen Xamarin, Cordova benzeri mobil geliştirme ortamlarında uygulama geliştirme deneyimli.    İŞ TANIMI  Wam Turkey  (Worldwide Asset Management ) Web sitelerinin tasarım, geliştirme ve işletimi konularını yönetecek, tasarım yönü kuvvetli, teknolojik gelişmeleri takip ederek verimliliği ve kaliteyi artırıcı çalışmalar yapacak, analitik düşünce yeteneği gelişmiş, iletişim yönü güçlü, öğrenmeye açık ve sürekli kendini yenileyen, takım çalışmasına önem veren Web Yazılım Uzmanı aramaktayız."
"Core Bilgi Sistemleri (Yeni Mezun İşe Alım Prog.)","İstanbul(Asya)(Ümraniye)"," "
"İş Zekası Uzmanı","İstanbul(Avr.)(Bağcılar)","GENEL NİTELİKLER VE İŞ TANIMI  Üniversitelerin dört yıllık Bilgisayar, Endüstri , Matematik Mühendisliği bölümlerinden mezun, IBM Cognos, MS SQL ,dashboard konularında en az 5 yıl tecrübeli,  Veri ambarı, iş zekâsı, ETL süreçlerinin test ve tasarımlarının geliştirmesi ,OLAP Küp modellemesine  hakim, Data warehouse tasarımı, yönetimi ve bakımı konularında tecrübeli, Veri ambarı ile ilgili yetkilendirme, güncelleme ve devam çalışmalarının yürütülmesinde tecrübeli,  ISO 27001 Bilgi Güvenliği standartları konusunda bilgi sahibi,        ÜNSPED Gümrük Müşavirliği ve  Lojistik Hizmetler A.Ş de; istihdam edilecek olan IBM Cognos İş Zekası Uzmanı arayışımız bulunmaktadır. "
"Bilgi İşlem Sistem Yöneticisi","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  İş Tanımı:  Sunucuların işletim sistemi düzeyinde bakım ve yönetimlerinin yapılması, Yedekleme işlerinin takibi, Uygulama sunucularının yönetimi, Sanal makinelerin yönetimi, Depolama ünitelerinin yönetimi, Kullanıcılar tarafından açılan kayıtların takibinin yapılması, Sunucuların taşınması ve ileriye dönük planlamaların yapılması.     Genel Nitelikler:  Üniversitelerin bilgisayar, elektrik-elektronik mühendisliği bölümlerinden mezun olmak, Benzer bir pozisyonda en az 5 yıl deneyimli olmak, Intel ve SPARC işlemci mimarilerinde tecrübeli olmak, Windows Server, Solaris, Linux işletim sistemleri konularında tecrübeli olmak, VMware Sanallaştırma teknolojilerinde tecrübeli olmak, Uygulama sunucuları konusunda tecrübeli olmak, SAN konusunda tecrübeli olmak, Erkek adaylar için askerliğini tamamlamış olmak, Detaylara önem veren, sorumluluk sahibi, motivasyonu yüksek olmak, Analitik düşünebilen, takım çalışmasına yatkın, proaktif olmak, İngilizce bilmek."
"Teknik Analist","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programlama veya ilgili bölümlerinden mezun, Web Tasarımı ve Web Uygulamaları, Frontend development konusunda (PHP, CSS3, HTML5, Javascript, Jquery, Ajax dilleri vb. üzerinde) en az 4 yıl tecrübesi olan, Front-end frameworkleri (bootstrap foundation) hakkında bilgi sahibi olan ve kullanarak tasarım yapabilen, Responsive tasarım kavramına yabancı olmayan, Adobe Photoshop, Illustrator, Bridge uygulamalarına hakim, Photoshop tasarımlarını alarak, HTML çevirebilecek, Teknik dökümanları takip edebilecek seviyede İngilizce bilgisine sahip, Tasarım dengesi, tasarım bütünlüğü, tipografi, menü/navigasyon mantığı, sayfa düzeni, sayfa yerleşimi gibi görsel tasarım prensiplerinde derinlemesine bilgi sahibi olan, Veritabanı (MSSQL) uygulamaları ile ilgili minimum 4 yıllık tecrübeli, Arama Motoru Optimizasyonu (SEO) bilgisi olan, Mailing tasarım ve işletim tecrübesi olan, Tercihen Xamarin, Cordova benzeri mobil geliştirme ortamlarında uygulama geliştirme deneyimli.    İŞ TANIMI  Wam Turkey  (Worldwide Asset Management ) Web sitelerinin tasarım, geliştirme ve işletimi konularını yönetecek, tasarım yönü kuvvetli, teknolojik gelişmeleri takip ederek verimliliği ve kaliteyi artırıcı çalışmalar yapacak, analitik düşünce yeteneği gelişmiş, iletişim yönü güçlü, öğrenmeye açık ve sürekli kendini yenileyen, takım çalışmasına önem veren Web Yazılım Uzmanı aramaktayız."
"İş Analisti","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI Üniversitelerin ilgili lisans bölümlerinden mezun (tercihen Bilgisayar veya Elektronik Mühendisliği) Minimum 3 yıl tecrübeli, tercihen Analistlik deneyiminin Bankacılık sektöründe olması, Analist olarak ses, metin ve görüntü işleme konusunda bilgi sahibi, Çağrı merkezi teknolojileri, vxml, java, MRCP, IVR, Oracle, SQL konularında bilgi sahibi, Tercihen iyi derecede İngilizce bilen, Yeniliklere açık, yeni teknolojileri araştırma ve öğrenme konusunda istekli, Analitik düşünme ve problem çözme yetkinliğine sahip, Erkek adaylar için askerlik görevini tamamlamış ya da en az 2 yıl tecilli,              İŞ TANIMI  Bankacılık sektöründe faaliyet gösteren firmada danışman olarak çalışarak ilgili projelere destek vermek."
"Yazılım Geliştirme Mühendisi","İstanbul(Avr.)","GENEL NİTELİKLER VE İŞ TANIMI Üniversitelerin ilgili lisans bölümlerinden mezun (tercihen Bilgisayar veya Elektronik Mühendisliği) Minimum 3 yıl tecrübeli, tercihen Yazılım deneyiminin Bankacılık sektöründe olması, Yazılımcı olarak ses, metin ve görüntü işleme konusunda deneyimi olan, Çağrı merkezi teknolojileri, vxml, java, MRCP, IVR, Oracle, SQL konularında tecrübe sahibi, Tercihen iyi derecede İngilizce bilen, Yeniliklere açık, yeni teknolojileri araştırma ve öğrenme konusunda istekli, Analitik düşünme ve problem çözme yetkinliğine sahip, Erkek adaylar için askerlik görevini tamamlamış ya da en az 2 yıl tecilli,              İŞ TANIMI  Bankacılık sektöründe faaliyet gösteren firmada danışman olarak çalışarak ilgili projelere destek vermek."
"Kıdemli Yazılım Mühendisi","Ankara","GENEL NİTELİKLER VE İŞ TANIMI Şirketimizin ODTÜ Teknokent'te faaliyet gösteren ve yazılım projelerini CMMI Seviye 3 gereklerine uygun olarak geliştiren yazılım grubumuz için, aşağıdaki niteliklere sahip takım arkadaşları arıyoruz:      Üniversitelerin Elektronik, Elektrik-Elektronik, Bilgisayar, Yazılım Mühendisliği bölümlerinden mezun, C/C++ dillerinde yazılım geliştirme deneyimine sahip, İyi derecede İngilizce bilen.    İŞ TANIMI Savunma sanayii projelerinde görev yapmış olmak, Gerçek Zamanlı İşletim Sistemleri (GHS Integrity, VxWorks, vb) üzerinde geliştirme yapmış olmak, DO-178B uygulanan projelerde çalışmış olmak, Taktik Veri Link Sistemleri (Link-16/22) konusunda bilgi sahibi olmak, DOORS, JIRA, SVN vb. araçları kullanma deneyimi olmak"
"Gömülü Sistem Mühendisi","Ankara(Çankaya)","GENEL NİTELİKLER VE İŞ TANIMI  Şirketimizin AR-GE departmanında görevlendirilmek üzere aşağıdaki niteliklere sahip ""Gömülü Yazılım Mühendisi"" çalışma arkadaşı arıyoruz.   -Üniversitelerin Mühendislik-Mimarlık Fakültelerinin,Bilgisayar,Yazılım Mühendisliği Elektronik, Elektrik-Elektronık yada Elektronik-Haberleşme, bölümlerinden mezun,  -Embedded Linux sistemlere yazılım geliştirilmesi,donanıma uygun Linux dağıtımı hazırlanması veya STM32 MCU'lara yazılım geliştirilmesi konularından birinde en az 3-5 yıl tecrübeli,  -C ve C++ programlarama dilleriyle uygulama geliştirmede 3-5 yıl deneyimli,  12C,UART,SPI, Ethernet, RS232 haberleşme tecrübesine sahip,  -TCP/IP ve UDP socket haberleşmesinde deneyimli,  -Embedded Linux, Cross Compiler ve Lınux Bash Script gibi konularında deneyim sahibi,  -Video işleme, hedef takip konusunda bilgi sahibi,  -QT Framework geliştirme ortamında çalışmış,  -Ekip çalışmasına yatkın, iletişim becerileri gelişmiş,"
"Uygulama ve Sistem Uzmanı","İstanbul(Avr.)(Beyoğlu)","GENEL NİTELİKLER VE İŞ TANIMI  Yatırım Finansman Menkul Değerler A.Ş. Türkiye'nin ilk sermaye piyasası kuruluşu olarak, Türkiye İş Bankası ve Türkiye Sınai Kalkınma Bankası'nın (TSKB) öncülüğünde, 13 büyük bankanın katılımıyla 15 Ekim 1976 tarihinde kurulmuştur. Kurulduğu günden bu yana sürekli gelişerek ve yenilenerek her dönemde yatırımcılarının gözünde ""güven sembolü"" olmaya ve sektörün önemli kuruluşları arasında yer almaya devam etmektedir. Önemli merkezlerdeki 9 hizmet noktası, tümü Sermaye Piyasası Kurulu lisanslarına sahip yatırım danışmanları, internet şubesi ve işlem platformları hizmet ağını oluşturmaktadır. Geniş yetkili aracı kurum olarak, yurt içi, yurt dışı bireysel ve kurumsal yatırımcılara sermaye piyasaları alanında aracılık hizmetlerini, dünya standartlarında sunmaktadır.     Yatırım Finansman Menkul Değerler A.Ş.’nin İstanbul-Fındıklı’da yer alan Genel Merkezi bünyesindeki Bilgi İşlem Müdürlüğü'nde görevlendirilmek üzere aşağıdaki niteliklere uygun, belirtilen sistemlerin yönetim, işletim, izleme ve bakım süreçlerinde yer alacak finans sektöründe deneyimli Uygulama ve Sistem Uzmanı aranmaktadır.  Üniversitelerin Bilgisayar Mühendisliği veya benzer mühendislik bölümlerinden mezun, Borsa aracı kurum yazılımlarının kurulum, iş analizi, teknik destek, test ve problem çözme süreçlerini takip edecek deneyim, teknik ve piyasa bilgisine sahip, Borsa emir iletim sistemleri işletimi konusunda bilgi sahibi (fix, ouch, dma..) Borsa veri yayın sistemleri işletimi ve performans takibi konularında bilgili Tradesoft GTP ve/veya Matriks OMS sistemleri uygulamaları destek süreçlerinde yer almış, SQL Server kurulum, işletim, yedekleme, replikasyon, t-sql raporlama bilgisi olan, Windows sunucu sistemleri yönetimi konusunda bilgi ve deneyim sahibi, Tercihen Vmware sanal platformu yönetimi konusunda bilgi ve deneyim sahibi, Tercihen router, switch, loadbalancer, firewall vb. network ürünleri orta düzeyde kullanım bilgisi olan, Tercihen sunucu ve network monitoring ürünleri konusunda bilgi ve deneyim sahibi, Tercihen Server/Storage işletim sistemleri, yazılımları ve alt yapı teknolojileri konusunda bilgili, Analitik düşünme ve problem çözme yeteneğine sahip, Tempolu çalışma ortamına uyum sağlayabilecek, İnsan ilişkileri, yazılı ve sözlü iletişimi kuvvetli, Ekip çalışmasına yatkın, Erkek adaylar için askerlik hizmetini tamamlamış, Esnek çalışma saatlerine uyum sağlayabilecek"
"Proje Mühendisi","İstanbul(Asya)(Pendik)","GENEL NİTELİKLER VE İŞ TANIMI     Dinamo, enerji ve endüstri sektörlerinin global ve lider firmalarının yurtiçi ve yurtdışındaki elit projelerinde yer alır.    Enerji Otomasyonu ve Endüstriyel Otomasyon projelerimizde çalışmak üzere Proje Mühendisi pozisyonu için uygun adayların başvurularını bekliyoruz.     Proje Mühendisi aşağıdaki görev ve işlerin başarıyla devamlılığını sağlar, denetler ve geliştirilmesine katkı yapar;    İş güvenliği ve işçi sağlığına her daim azami dikkat gösterir.  Projeye özel en uygun tasarımın oluşturulmasına katkı verir.  Arayüz/Haberleşme Diyagramları, Malzeme Listeleri, Kablo Listeleri, Sipariş Listeleri, Sinyal Listeleri, Saha Uygulama Notları, Test Prosedürleri, Raporlama gibi dokümantasyonun hazırlanmasına katkı verir ve uygular.  Yazılım ve parametreleme işlerini yapar  İmalat aşamasında gerekli kontrolleri yaparak sistemin sahaya sevkinden önce uygunluğunu test eder.  Uygulama sahasında destek birimlerini yönlendirir, sistemi devreye alır ve müşteri nezdinde kabul testlerini prosedüre göre gerçekleştirir.  Gerektiğinde saha servis ve bakım çalışmalarına katılır.  İletişime önem verir, tecrübelerden beslenir, hatalardan ders çıkararak kendisini ve etkileşimde olduğu kişileri proaktif bakış açısıyla geliştirir.     Proje Mühendisi pozisyonu için aranılan özellikler;     Üniversitelerin Elektrik, Elektronik, Bilgisayar, Kontrol Mühendisliği ve eşlenik programlarından mezun Sahada çalışma, öğrenme arzusu ve bir kariyer planı olan Seyahat engeli olmayan  En az B tipi ehliyetli ve aktif olarak araç kullanan  PLC, RTU, SCADA Otomasyon sistemleri tecrübesi tercih sebebidir.  Koruma/Kumanda sistemleri tecrübesi tercih sebebidir.  Proses Otomasyonu sistemleri tecrübesi tercih sebebidir.  Programlama Dili bilgisi ve tecrübesi tercih sebebidir.  Network uygulamaları tecrübesi tercih sebebidir.  Yabancı dil bilgisi tercih sebebidir."
"Yazılım Geliştirme Uzmanı","İstanbul(Asya)(Beykoz)","GENEL NİTELİKLER VE İŞ TANIMI  NUN Okulları Beykoz Kampüsü’nde görevlendirilmek üzere Yazılım Geliştirme Uzmanı alınacaktır.  Üniversitelerin ilgili bölümlerinden mezun (Bilgisayar Mühendisliği, Yazılım Mühendisliği,Endüstri Mühendisliği veya Matematik Mühendisliği), ERP projelerinde (tercihen Workcube e-dönüşüm projelerinde) yazılım ve analiz konusunda en az 5 yıl  iş tecrübesine sahip,  SQL sorgulama dili ve veritabanı yönetiminde bilgi sahibi, Sistem analizi, iş modelleme, sistem tasarımı, yazılım geliştirme, test, entegrasyon ve dokümantasyon çalışmalarını gerçekleştirebilen, Coldfusion, Php gibi programlama dillerinde kod geliştirmiş, Javascript, HTML, CSS gibi Web teknolojileri konusunda tecrübeli, En az literatürü takip edebilecek seviyede İngilizce bilen, "
"Elektronik Ar-Ge Mühendisi","İzmir(Çiğli)","GENEL NİTELİKLER VE İŞ TANIMI  ARGE MERKEZİMİZDE ÇALIŞMAK ÜZERE,  ·         Donanım/Hardware (Analog&Dijital) tasarımında tecrübeli,   ·         Tasarlanan devrelerin simülasyonu konusunda, tek katlı ve çok katlı baskı devre tasarımlarında yeterli bilgiye sahip olmak,     ·         GÖMÜLÜ YAZILIM konusunda bilgili olan,  ·         C\C++ , ARM (KEIL) programlama becerileri ve nesneye dayalı programlama konusuna hakim, ·         Tercihen mikrodenetleyici / Mikroişlemci tabanlı proje geliştirme sürecinde bilgi ve tecrübe sahibi, Arm,-Cortex yazılım konusunda çalışma yapmaktan zevk duyacak,   ·         Makinelerde GPRS bağlantı ile BULUT üzerinden haberleştirme (Wifi, Bluetooth… haberleşme modülleri ile tasarım) ·         Üniversitelerin Elektrik/Elektronik Mühendisliği, Bilgisayar Mühendisliği veya Matematik / Mekatronik Mühendisliği bölümleri mezunu, ·         Teknolojiyi takip eden, araştırmacı ve öğrenmeye istekli, ·         İzmir Karşıyaka, Çiğli, Bornova bölgelerinde ikamet eden, (Şehir dışından gelecek başvurulara lojman tahsisi(Karşıyaka’da) mümkün olabilir.) ·         Erkek adaylar için askerlik hizmetini tamamlamış olmak    İŞ TANIMI ·         ARGE MERKEZİMİZDE çalışılacaktır. ·         Yeni ürün yazılım tasarımı ve ürün iyileştirme/geliştirme çalışmalarında rol almak, ·         Tasarım sürecinin standartlara uygunluğunu sağlamak, ·         Gerçekleştirilecek çalışmalara ait(tübitak-teydep, santez, ..vb) tüm dokümantasyon ve teknik veri paketlerini hazırlamak. ·         ELEKTRAL A.Ş. tarafından geliştirilmekte olan projelerde mühendislik faaliyetlerinde görev alacaktır."
