"Meslek","Şehir","Nitelikler"
"Bilgi İşlem Analisti"," ","İşin Tanımı:   -Pazarlama projelerinde kullanılacak olan materyallerinin tasarım, geliştirme ve değerlendirmesini yapmak  -Var olan projelerde değişiklik ve geliştirmeler yapmak,  -Pazarlama projelerindeki içeriklerin çekimini yapmak, kurgusunu yapmak ve uygulamak,  -Sunum, montaj ve etkinlik videoları oluşturmak,  -Video içerik üretimine fikir bulmak, geliştirme tarafında katkı sağlamak,  -Hazırladığı ilgili içerikleri otomasyon sistemine yüklemek,  -Videolardan nitelikli GIF’ler çıkarmak.  -Sosyal medya hesaplarının takip edilmesi  Aranan Nitelikler "
"Veri Ambarı Yazılım Uzmanı","İstanbul","Firmamız tarafından yürütülen bankacılık projelerimizde görevlendirilmek üzere, Veri Ambarı Yazılım Uzmanı arayışımız bulunmaktadır.    Genel Nitelikler:  Üniversitelerin Bilgisayar Mühendisliği veya benzeri bölümlerinden mezun, İyi derecede PL/SQL, T-SQL, SQL bilgisine sahip Tercihen iş zekası, veri ambarı projelerinde 2-3 yıl tecrübeli,  Tercihen Business Objects ve benzeri raporlama araçları konusunda bilgi sahibi, Tercihen Bankacılık sektöründe çalışmış, bankacılık terminolojisi bilen, Tercihen ODI konusunda bilgi sahibi, Tercihen Java, XML ve Webservice Teknolojileri bilgisine sahip (Java, J2EE, JDBC, XML), Tercihen data-mining/CRM projelerinde çalışmış, Takım çalışmasına yatkın, sorumluluk sahibi ve etkili iletişim kurabilen, Erkek adaylar için askerliğini yapmış, İstanbul’da ikamet eden, seyahate engel durumu olmayan, İngilizce’yi iyi derecede bilen.    "
"Bilgi İşlem Elemanı","Bursa"," "
"Mobil Uygulama Geliştiricisi (React Native)"," ","Türkiye'de birçok kuruluş tarafından kullanılan web ve mobil tabanlı bir iş takip programı olan Cubicl'ı (cubicl.io) geliştiren ODTÜ Teknokent'teki startup ekibimize React Native bilen mobil uygulama geliştiricileri arıyoruz.     İŞ TANIMI  Uygulamamızın yol haritasında bulunan özelliklerin geliştirilmesi Yazılımsal hataların giderilmesi     ARANAN NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği veya ilgili bölümlerinden mezun olmak Döküman yazacak seviyede İngilizce bilmek React Native kullanmış olmak JSON ve REST API hakkında bilgi sahibi olmak Detaylara önem vermek "
"E-Ticaret Uzmanı","İstanbul"," Türkiye’de eşarp, bayan giyim ve üretimde lider olan markamızın Eyüp'te bulunan genel merkezinde E-Ticaret departmanına bağlı olarak görev alacak;  Siteye banner-slider görsellerini optimize ederek yerleştirecek, Landing page tasarlamalarını gerçekleştirecek, İstenilen kampanya kurgularını yaparak siteye entegre edecek, bunların takibini sağlayacak ve raporlayacak, Banka sanal pos sorunlarıyla ilgilenecek, Ürün görsellerini ve ürün açıklamalarını ekleyecek, Yazılımsal tespitleri gerçekleştirecek(test kontrolleri ve takibi), İstenen Yetenek ve Uzmanlıklar Tercihen üniversitelerin Bilgisayar Mühendisliği bölümlerinden mezun, E-ticaret sektöründe en az 2 yıl deneyimli, İyi seviyede HTML+CSS bilgisi olan, İyi seviyede Ticimax programını kullanan, Pazar yerleri hakkında bilgi sahibi, MS Office programlarına hakim, Orta düzeyde photoshop bilgisi olan, Yazılı ve sözlü iletişimi kuvvetli, Analitik düşünce yapısına hakim,  "
"Deneyimli ERP Uzmanı","İstanbul","Yıldızlar SSS Holding,  İstanbul Bilgi Teknolojiler bölümü bünyesinde tam zamanlı olarak görevlendirilmek üzere;     Endüstri, Bilgisayar Mühendisliği veya ilgilibölümlerinden mezun, Canias ERP projelerinde en az 2 yıl aktif görev almış, SQL sorgulama dilini iyi bilen, Troia geliştirme dilini bilen, Esnek çalışma saatlerinde ve yoğun tempoda çalışabilecek, Gelişmiş iletişim ve sunum becerilerine sahip, insan ilişkilerinde başarılı, Ekip çalışmasına yatkın ve analitik düşünme yeteneği gelişmiş, Literatürü İngilizce izleyebilecek, yazılı ve sözlü iletişim kurabilecek,   Erkek adaylar için askerlik hizmetini tamamlamış Seyahat engeli olmayan, İstanbul’da ikamet eden veya edebilecek olan  Deneyimli ERP Uzmanı alınacaktır.  Bu pozisyon genel olarak CANIAS ERP yazılım projelerinde Troia ile özel uygulama ve fonksiyonların geliştirilmesi, kullanıcı eğitimlerinin ve desteklerinin verilmesi gibi faaliyetlerden sorumlu olacaktır.  "
"Gömülü Yazılım Mühendisi"," ","Üniversitelerin Elektrik-Elektronik veya Bilgisayar Mühendisliği Bölümleri' nden mezun, C ve C++ programlama dilinde tecrübeli, İşletim sistemleri temellerini bilen, TCP/IP ve Unix ağ programlama bilgisine sahip Linux üzerinde GTK+ veya QT ile arayüz programlaması yapabilen, Görüntü işleme ve Video Streaming konularında temel bilgi sahibi olan, Analitik düşünme yetisine sahip, çözüm odaklı, takım çalışmasına yatkın, yoğun iş temposuna ayak uydurabilecek, Araştırma ve geliştirme konularında kariyer yapmaya ve yeni teknolojileri öğrenmeye istekli, Teknik derecedeyeterli İngilizce bilgisine sahip, Erkek adaylar için askerlik hizmetini tamamlamış. Linux tabanlı gömülü sistemlerde, uygulama yazılımı geliştirilmesi  Mevcut yazılımların güncellenip iyileştirilmesi, saha desteği verilmesi  Yazılım projelerinde aktif rol alma,  Sistem ürün gereksinimlerinin belirlenip gerekli testlerin yapılması, yaptırılması,  Ürün tasarımı sürecinde ihtiyaç duyulan konfigürasyon yönetimi, kaynak kod kontrolü, test ve dökümantasyon gibi formal geliştirme tekniklerinin  kullanılması.  "
"Gömülü Yazılım Mühendisi","İstanbul","Üniversitelerin Elektronik, Elektrik-Elektronik, Elektronik ve Haberleşme, Bilgisayar Mühendisliği bölümlerinden mezun  C, C++ dillerinde gömülü yazılım geliştirme tecrübesine sahip Embedded linux üzerinde yazılım geliştirme tecrübesine sahip, Python diline hakim Nesne yönelimli programlama konusunda bilgi sahibi Ölçü aletlerini (Osilaskop, multimetre vb.) etkin şekilde kullanabilen Haberleşme protokolleri (TCP/IP, SNMP, I2C, SPI, CANopen, Modbus) hakkında bilgi sahibi Yazılım geliştirme araçlarını etkin kullanan (IDE, versiyon kontrol, debugging, toolchain) İyi derecede yazılı ve sözlü İngilizce iletişim kurabilen Gerektiğinde yurtiçi ve yurtdışı seyahat edebilecek İş disiplini ve düzenine sahip, takım çalışmasına yatkın Erkek adaylar için askerlik görevini tamamlamış veya en az 2 yıl tecilli Güvenlik soruşturması engeli bulunmayan  TERCİH NEDENİ OLABİLECEK NİTELİKLER  C#, Java, web, mobil yazılım geliştirme tecrübesi bulunan Yazılım test yöntemleri ve yaşam döngüsü süreçleri konusunda bilgi sahibi DOORS, Jira benzeri yazılımlar konusunda bilgi sahibi  "
"Yazılım Geliştirme Uzmanı","Düzce","* Mobil App (Android ve IOS) alanında tecrübe sahibi   *Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programcılığı veya ilgili bölümlerinden mezun  *İlişkisel veri tabanları ve nesne-veri ilişkileri konusunda bilgi sahibi  *Nesne Yönelimli Programlama konusunda  tecrübeli;  *Yazılım tasarım kalıpları (Design Patterns) konusunda bilgi sahibi  *RESTful services ve Web Services konularında tecrübesi olan  *Server to Server; Server to Client; Client to Server konularında deneyimi olan  *HTML5, CSS konusunda tecrübeli olan  *Git / BitBucket gibi versiyon takip sistemi konularında bilgi ve tecrübesi olan  *Mobil uygulama geliştirme alanında deneyimli  "
"Fullstack Developer"," ","Sıfırdan oluşturulacak yazılım projelerimizde ve mevcut projelerimizin geliştirilmesinde görev alacak yazılım mühendisi (veya uzmanı) arıyoruz.     GENEL NİTELİKLER  - Yeniliklere açık, teknolojiler konusunda gelişmeleri takip eden.  - Analitik düşünce kabiliyeti olan.  - Yaratıcı ve dinamik, takım çalışmasına yatkın.  - Sorumluluk sahibi, insiyatif alabilen ve çözüm odaklı çalışan.     ZORUNLU TEKNİK YETKİNLİKLER  "
"Kıdemli ve Junior Yazılım Mühendisleri","İstanbul","İŞ TANIMI  T.C. Sanayi ve Teknoloji Bakanlığı onaylı Ar-Ge Merkezi’ mizin Yazılım Bölümü için Kıdemli ve Junıor Yazılım Mühendisi alınacaktır.Büyüyen yapımızda Akıllı Bina ve Ev Otomasyon Sistemlerinde kullanılacak cihazların yazılımlarını develop edecek  takım arkadaşı aranmaktadır.     * Üniversitelerin ilgili mühendislik bölümlerinden (Bilgisayar Mühendisliği, Yazılım Mühendisliği, Matematik Mühendisliği, Elektrik-Elektronik Mühendisliği, Elektronik Haberleşme Mühendisliği vb.) mezun  * C# ASP.NET, Razor Pages, WebAPI, HTML5,  CSS3, JavaScript ile 5+ yıl yazılım geliştirme tecrübesi olan  *ASP.net Core mimarisi üzerinde cross platform uygulama geliştirme tecrübesi olan  * OOP, Katmanlı mimari, Dependency Injection gibi konseptlerde uzman   * Webapi ve Rest servisleri ile uygulama geliştirmiş  * Linux işletim sistemleri ve Bash scripting konusunda deneyimli  * Linux kernel geliştirme & C ile uygulama geliştirme deneyimi bulunan "
"Yazılım Uzmanı","İstanbul","Autoking, yabancı yatırımcıların da desteğiyle bu bölgedeki büyümesini sağlayan Türkiye'nin en hızlı büyüyen bakım ve onarım şirketidir.  Türkiye, Rusya, Kıbrıs ve Yunanistan gibi ülkelerde 120.000 m2 kapalı tesis ve 54 yüksek teknoloji donanımlı servis merkezinde faaliyet göstermektedir.  Ana hedefimiz, yenilikleri yakalamak, vizyoner bir ekip oluşturmak ve bu ekibe rehberlik etmek için sağlam bir vizyon sağlamak için güçlü bir vizyon getirmeye odaklanmaktır ...     GENEL NİTELİKLER  Bilgisayar Mühendisi, Yazılım Mühendisliği, Matematik Mühendisliği ve ilgili  bölümlerinden muzun, 2-7 yıl .NET teknolojilerini geliştirme ve sürdürme deneyimi olan, İyi derecede İngilizce konuşabilen, İletişim becerileri gelişmiş, analitik düşünebilen, araştırmacı ve sonuç odaklı,  Planlama ve takip etme becerisi kuvvetli,, Tercihen erkek adaylar için askerlik görevini tamamlamış,   "
"Müşteri Destek Uzmanı","İstanbul","İş Açıklaması  Bilin HUMANIST olarak; global anlamda bütün temel ve stratejik İnsan Kaynakları süreçlerini kapsarken, aynı zamanda Türkiye’deki iş sistemleri, yerel uygulamalar ve yasal gereksinimlere uygun çözümler sunmaktayız. Bu doğrultuda büyümekte olan dinamik organizasyonumuz içerisinde Müşteri Destek Uzmanı pozisyonunda takım arkadaşları aramaktayız.     İstenen Yetenek ve Uzmanlıklar  Üniversite mezunu (tercihen Endüstri Mühendisliği, Bilgisayar Mühendisliği, Bilgisayar Programcılığı, Yönetim Bilişim Sistemleri ve dengi bölümlerden mezun) ve/veya yüksek okul mezunu olan(tercihen Bilgisayar Programcılığı) Tercihen Müşteri Desteği ve/veya Danışmanlık konusunda minimum 2 yıl deneyim sahibi olan İnsan kaynaklarının bordro alanında destek hizmeti vermiş Bordro ve yasal mevzuat konularında bilgi sahibi olan Tercihen iyi derecede İngilizce bilen Tercihen Humanist veya diğer insan kaynakları yazılımları hakkında bilgi sahibi olan Tercihen MS SQL, Oracle veri tabanları ile ilgili bilgi sahibi olan İyi derecede MS Office uygulamalarını kullanabilen (Word, Excel, PowerPoint ve Outlook, Project)  İletişim yeteneği gelişmiş, müşteri odaklı düşünce tarzını benimsemiş olan hakim. Analitik düşünce yapısına sahip olan Seyahat engeli olmayan  "
"İş Analitiği Birim Yöneticisi","İstanbul","Veritabanı sorgulama dillerinden herhangi (T-SQL, PL-SQL gibi) üzerinde minimum 3 yıl deneyim sahibi. Visual Studio BI projeleri üzerinde çalışmış (SSIS, SSAS) R, Python ya da MATLAB gibi analitik programlama dilleri üzerinde çalışma yapmış. Regresyon, sınıflandırma, kümeleme ya da optimizasyon gibi matematiksel modelleme üzerinde çalışmış Kavramsal ve Analitik Düşünme yönü güçlü İlişki Yönetimi ve Problem Çözme becerisi kuvvetli Veri düzenleme, hazırlama ve analizi yapabilen Tercihen İyi derecede İngilizce bilen     İŞ TANIMI  Operasyonda yürütülen tekrarlı ve manuel işlerin otomatize edilmesi için gerekli algoritmaların geliştirilmesi. (IT ve Operasyon birimleriyle yakın çalışarak) Operasyonun yönlendirilmesi için akıllı alert sistemlerinin kurulması. Veri analizi ve bunun öncesinde gerekli tüm ön hazırlıkların yapılabilmesi, otomatikleştirilmesi ve bakımı. Diğer birimlerin koordine edilip, yönlendirilmesi ve takip edilmesi (tüm proje işleyişleri için). Merchandising bütçe aracı üzerindeki tüm geliştirmelerin yönetilmesi (veri aktarımı, güncellenmesi, dashboard bakımı, geliştirmeler). Üzerinde çalışılan projelerin dokümantasyonunun yapılıp ve dokümanın güncelliğinin sağlanması. "
"Siber Güvenlik Uzmanı","Ankara"," "
"Görüntü İşleme ve Bil. Görü Tekn. Mühendisi","Ankara"," "
"Sistem Destek Uzmanı","Kocaeli, İstanbul","Horoz Lojistik şirketimizin Gebze - Şekerpınar  Lokasyonu'nda görevlendirilmek üzere,  Üniversitelerin veya Meslek Yüksek Okullarının ilgili bölümlerinden mezun (Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama vb.), Minimum 3 yıl iş deneyimi olan, Windows tabanlı kullanıcı işletim sistemleri konularında deneyimli,  Motorola El terminali, barkod yazıcı, Accesspoint konularında tecrübeli, Kamera sistemlerinde bilgili, TCP/IP, WAN, LAN, Switch, Kablolama, Kablosuz Ağ vb. konularda bilgi sahibi, Tercihen İngilizce bilgisine sahip, B sınıfı sürücü belgesi olup aktif araç kullanabilen, Askerlik hizmetini tamamlamış (erkek adaylar için), Tercihen Gebze - Şekerpınar Lokasyonu'na yakın ikamet eden,   ""Sistem Destek Uzmanı"" arıyoruz.    İŞ TANIMI  "
"Zayıf Akım Mühendisi","İstanbul","Adecco Grup, merkezi İsviçre’de, 60’tan fazla ülke ve bölgede yaklaşık 33.000 çalışanı, 5.500 şubesiyle her gün 750.000’in üzerinde kişiye iş imkanı sağlayarak 100.000’in üzerinde firma ile buluşturmaktadır. İnsan kaynakları ve istihdam çözümleri konusunda dünya lideri olan Adecco, global bakış açısı ile lokal ihtiyaçların çözümlenmesinde geniş bilgi birikimini müşterileriyle paylaşmaktadır. Adecco Group bir Fortune 500 firması olup, SIX Swiss Exchange borsasına kotedir.     Danışmanlığı yapmakta olduğumuz sektöründe önde gelen müşterimiz için Türkiye'nin en büyük projelerinde görevlendirilmek üzere ‘Zayıf Akım Mühendisi’ arayışımız mevcuttur.     Üniversitelerin Elektrik, Elektronik veya Bilgisayar Mühendisliği/Teknikerliği bölümlerinden mezun, Zayıf Akım ve Bina Teknolojileri konusunda en az 3 yıl tecrübe sahibi, CCTV, Kartlı Geçiş, Yangın Algılama, Acil Anons vb. sistemlerde kendi sorumluluğunda proje bitirme tecrübesine sahip, MS Office ve AutoCAD programlarını kullanabilen, Tercihen İngilizce bilen,  Ehliyet sahibi ve aktif araç kullanabilen, Raporlama ve iletişim yetenekleri kuvvetli, Temsil yeteneği ve müşteri ilişkileri kuvvetli, Saha ve ekip çalışmasına yatkın, Şirket ve kişisel hedeflerini ortak hedefler olarak yönetebilen, "
"Kurumsal Akademi Operasyon Uzmanı","İstanbul","Görev Tanımı :  Yıllık eğitim planının tüm birimler ile entegre olarak yapılması, Eğitim raporlanmalarının hazırlanması, Kurumsal Akademi bünyesinde yürütülmesinden sorumlu olduğu operasyonların dijitalleştirilmesi ve sürdürülebilirliğinin sağlanması, E-öğrenme faaliyetleri ile ilgili operasyonel süreçlerin yürütülmesi, takip edilmesi , öğrenmenin pekiştirilmesinin analizi ve raporlama işlemlerinin yapılması, Eğitim faaliyetleri ile ilgili iyileştirme / geliştirme ve yalınlaştırma ihtiyaçlarının tespit edilmesi ve eğitim birimleri hedeflerine uygun önerileriler ve metotlar geliştirilmesi,  Genel Nitelikler :   Üniversitelerin Veri Analizi,Süreç Geliştirme ve Sistem Geliştirme ile İlgili bölümlerinden Mezun (Endüstri Mühendisliği,Matematik Mühendisliği,İşletme Mühendisliği, Bilgisayar Mühendisliği, İstatistik, Ekonometri,Sayısal Yöntemler, Vb.) MS Word, MS Excel, MS PowerPoint programlarını iyi düzeyde kullanabilen, Veri Kontrolü, Veri Analizi ve Raporlama becerisi gelişmiş, Dikkatli  ve Öz Disiplini yüksek  İçsel motivasyonu yüksek ve proaktif, Proje Yönetim süreçlerinde görev almış, tercihen Agile Proje Yönetimi yapmış     "
"Yazılım Geliştirme Uzmanı","İstanbul","Arkas Holding şirketlerindenİstanbul Ambarlı bölgesinde yer alan Marport Liman İşletmeleri'nin Bilgi Sistemleri Departmanı'nda görev alacakYazılım Geliştirme Uzmanı aranmaktadır.  Üniversitelerin ilgili mühendislik bölümlerinden mezun, tercihen Bilgisayar Mühendisliği, Yazılım Mühendisliği,  Matematik Mühendisliği, Elektrik-Elektronik Mühendisliği, Uygulama geliştirme alanında minimum 2 yıl tecrübe sahibi, Visual Studio, Net Framework, C#, ASP.NET, .NET CORE, MVC  programlama dillerinde deneyim sahibi, Nesneye yönelik analiz ve tasarım bilgisine sahip, DevExpress kompanentleri ile uygulama geliştirmiş, MSSQL,Oracle gibi veri tabanları ile çalışmış,PL-SQL, T-SQL konusunda tecrübeli, Entity Framework, WCF konuları ile ilgili bilgi sahibi, Tercihen XML(SOAP,REST) teknolojilerinde tecrübeli, Tercihen mobil uygulama (Android, iOS) geliştirmiş, Tercihen Windows Servis uygulaması geliştirmiş, Yazılım geliştirme süreç ve dokümantasyonuna aşina, İngilizce bilgisi olan, Erkek adaylar için askerlikle ilişiği olmayan.   İŞ TANIMI  Liman ve Terminal İşletmeleri Grubu’nun ihtiyaçları doğrultusunda ihtiyaç duyulan uygulamaları geliştirmek, gerekli olduğunda ihtiyaçların analizlerini yapmak,  "
"Proje Mühendisi","Kocaeli"," "
"Yazılım Uzmanı","Bursa"," "
"ERP Proje Yöneticisi","Yalova","Yalova-Altınova bölgesinde Gemi inşa sektöründe faaliyet gösteren firmamız için IFS PROJE VE ERP YÖNETİCİSİ arayışımız bulunmaktadır.     Genel Yetkinlikler  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Bilimleri Mühendisliği, Yazılım Mühendisliği veya benzeri bölümlerinden mezun,  Minimum, 3 yıl IFS deneyimi bulunan,  İlişkisel Veritabanı ve Veritabanı modelleme konularına hakim,  Teknik dokümantasyonu takip edebilecek seviyede İngilizce bilgisine sahip,  Analitik düşünce yapısına sahip, sorumluluk bilinci yüksek, takım ruhu içinde çalışabilecek ekip arkadaşı arayışımız bulunmaktadır.     "
"Proje ve Teşvik Uzmanı"," ","GENEL NİTELİKLER  Savunma Sanayi alanında faaliyet gösteren şirketimizin Mühendislik Direktörlüğü bünyesinde yürütülen projelerde çalışmak üzere “Proje ve Teşvik Uzmanı” arayışımız bulunmaktadır.   Üniversitelerin Mühendislik Bölümlerinden yada Fizik Bölümlerinden mezun(tercihen Elektrik-Elektronik Mühendisliği, Bilgisayar Mühendisliği, Fizik Mühendisliği) TÜBİTAK, KOSGEB, Ar-Ge ve Tasarım Merkezleri, Yatırım Teşvikleri ve Ticaret Bakanlığı İhracat destekleri hakkında bilgi sahibi ve en az 2 yıl deneyimli, MS Office programlarını (MS Word, MS Excel, MS Powerpoint) çok iyi derecede kullanabilen, İyi derecede İngilizce bilen,  Araştırmacı, analitik düşünebilen ve iş takibi kuvvetli, Diksiyonu düzgün, sözlü ve yazılı iletişim becerileri güçlü, Yurtiçi, Yurtdışı hiçbir seyahat engeli bulunmayan,  B sınıfı sürücü ehliyeti olan aktif araç kullanabilen,  Teknik konuların yanı sıra idari ve mali alanlarda da kendini geliştirebilecek,  Düzenli, çalışma disiplini yüksek,  Ankara'da ikamet eden, Uzun süreli çalışmak isteyen.    "
